[Performance] 2025-03-24 09:58:29: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:30: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:31: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:32: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:34: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:35: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:36: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:37: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:38: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:39: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:40: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:41: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:58:43: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:44: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:45: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:46: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:47: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:48: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:49: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:50: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:51: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:52: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:53: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:54: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:55: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:56: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:57: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:58:58: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:58:59: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:00: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:01: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:02: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:03: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:04: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:05: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:06: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:07: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:08: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:09: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:10: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:11: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:12: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:13: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:14: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:15: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:16: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:17: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:59:18: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:19: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:20: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:21: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:22: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:59:23: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:24: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:25: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:26: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:27: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:59:28: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:29: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:30: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:31: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:32: 6191451 bytes/s, 49531608 bps, 119 fps
[Performance] 2025-03-24 09:59:33: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:34: 6295509 bytes/s, 50364072 bps, 121 fps
[Performance] 2025-03-24 09:59:35: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:36: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:37: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:38: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:39: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:40: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:41: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:42: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:43: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:44: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:45: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:46: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:47: 6243480 bytes/s, 49947840 bps, 120 fps
[Performance] 2025-03-24 09:59:48: 6243480 bytes/s, 49947840 bps, 120 fps
